target_variable,RMSE_2_back,RMSE_1_back,RMSE_0_back,RMSE_1_ahead,RMSE_2_ahead,RMSE,MAE_2_back,MAE_1_back,MAE_0_back,MAE_1_ahead,MAE_2_ahead,MAE,q22020_2_back,q22020_1_back,q22020_0_back,q22020_1_ahead,q22020_2_ahead,variables,network,n_timesteps,train_episodes,batch_size,lr,decay,missings
x_world,0.01897062778230213,0.017160302905400014,0.016365343242079014,0.016492604986812563,0.01459290834655877,0.016716357452630497,0.013972654858155695,0.013763371366910805,0.012869697253840138,0.012980806178968771,0.011749901878670765,0.013067286307309234,-0.0036517978000000003,-0.047516253,-0.10880786,-0.10044518,-0.0802533,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.96,0.0
x_world,0.02082060097793676,0.01865516392683528,0.0182004580509535,0.01739298425249048,0.015927580838222544,0.01819935760928772,0.01675050224226248,0.015742471678769354,0.014467882048126381,0.01372725220361273,0.012963294099790985,0.014730280454512384,0.0017147731268778446,-0.03398847579956055,-0.09605806320905684,-0.0835384726524353,-0.06870289891958238,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.96,0.0
x_world,0.029832950757320162,0.025278701781126692,0.02571562670332891,0.02203729426873191,0.022290304598961933,0.02503097562189392,0.02460285117848107,0.022520806442097342,0.020637451451521856,0.0176993142305721,0.0178417743873364,0.02066043953800176,-0.013291066512465477,-0.07269109785556792,-0.2509315311908722,-0.2490579932928085,-0.21477612853050232,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,1.0,0.0
x_world,0.029175180403350105,0.027180228395316853,0.025953536139711467,0.02346710892684068,0.02298532048108172,0.02575227486926016,0.024303644542965464,0.02340624218801568,0.021423126816999656,0.01999725866444428,0.019782520691401385,0.02178255858076529,-0.006552467122673988,-0.07144536077976227,-0.2808733880519867,-0.25930050015449524,-0.23061063885688785,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,1.0,0.0
x_world,0.0266990821825731,0.026656918550752744,0.026657625377257646,0.02661951636745313,0.02661502454340877,0.02664963340428908,0.02323075761959704,0.02322329133956243,0.023183001526708068,0.023149065994734232,0.02315004787482004,0.02318723287108437,0.014815028756856918,0.013739142566919329,0.012359373271465302,0.013217072933912277,0.013134416192770004,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.5,0.0
x_world,0.026668469808398737,0.026644603813112785,0.02662498621549215,0.026604743475765413,0.02659711180909105,0.026627983024372026,0.02300034349193213,0.022996871920512214,0.022975822699865082,0.02295086152526632,0.02294840549459097,0.022974461026433347,0.014111640863120556,0.014288048259913918,0.014299225993454456,0.014766027219593525,0.01479420159012079,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.8,0.0
x_world,0.026311729340927882,0.026176926364106626,0.02611134737840633,0.0260211162994358,0.02596080704659196,0.026116385285893717,0.022735542273890786,0.022686342364919,0.022523393510651395,0.02243106431934133,0.02239903520467773,0.022555075534696045,0.013843942433595656,0.011959986761212349,0.008602228015661241,0.009049080312252043,0.009728377684950829,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.9,0.0
x_world,0.02582527408654181,0.02555624341517151,0.025464796190005908,0.025287132102069915,0.02515550379994461,0.02545778991874676,0.02227843718012212,0.02221124957389812,0.021895631670895453,0.02172524514150089,0.021654491900276945,0.021953011093338703,0.012737315148115158,0.008639778941869736,0.001958621665835381,0.0007911650463938713,0.002923659048974514,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.95,0.0
x_world,0.02614698039003256,0.025763514077745873,0.025600592151521943,0.025322045988652384,0.024950170623876604,0.02555666064636587,0.022447387410537496,0.022319969842952297,0.02190645550185764,0.02165811401333875,0.02147119052117108,0.02196062345797145,0.013837775215506555,0.009180442430078985,-0.0019941823557019234,-0.0016398499719798565,0.0019241503905504946,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.96,0.0
x_world,0.020198545363872944,0.0179703492301776,0.017735181515861717,0.01719622374343844,0.015175655052728696,0.01765519098121588,0.016396997101659625,0.015186608972880862,0.014050026779249913,0.013640525882173071,0.012572166208883757,0.014369264988969444,0.003249980974942445,-0.045183070003986366,-0.12144146859645845,-0.1075081154704094,-0.08696439117193222,"['bci_jp', 'x_nl', 'x_it', 'x_br', 'ipi_de', 'ipi_ru', 'rti_vol_fr', 'constr_ca', 'bci_nl', 'export_orders_de', 'fc_x_us']","MV_LSTM(  (l_lstm): LSTM(11, 20, num_layers=2, batch_first=True)  (l_linear): Linear(in_features=240, out_features=1, bias=True))",12,200,30,0.01,0.96,0.0
